from_station_id,from_station_name
227,Southport Ave & Waveland Ave
228,Damen Ave & Melrose Ave
229,Southport Ave & Roscoe St
230,Lincoln Ave & Roscoe St
231,Sheridan Rd & Montrose Ave
232,Pine Grove Ave & Waveland Ave
233,Sangamon St & Washington Blvd
234,Clark St & Montrose Ave
236,Sedgwick St & Schiller St
237,MLK Jr Dr & 29th St
238,Ravenswood Ave & Montrose Ave
239,Western Ave & Leland Ave
240,Sheridan Rd & Irving Park Rd
241,Morgan St & Polk St
242,Damen Ave & Leland Ave
243,Lincoln Ave & Leavitt St
244,Ravenswood Ave & Irving Park Rd
245,Clarendon Ave & Junior Ter
246,Ashland Ave & Belle Plaine Ave
247,Shore Drive & 55th St
248,Woodlawn Ave & 55th St
249,Montrose Harbor
250,Ashland Ave & Wellington Ave
251,Clarendon Ave & Leland Ave
252,Greenwood Ave & 47th St
253,Clifton Ave & Lawrence Ave
254,Pine Grove Ave & Irving Park Rd
255,Indiana Ave & Roosevelt Rd
256,Broadway & Sheridan Rd
257,Lincoln Ave & Waveland Ave
258,Logan Blvd & Elston Ave
259,California Ave & Francis Pl
260,Kedzie Ave & Milwaukee Ave
261,Hermitage Ave & Polk St
262,Halsted St & 37th St
263,Rhodes Ave & 32nd St
264,Stetson Ave & South Water St
265,Cottage Grove Ave & Oakwood Blvd
267,Lake Park Ave & 47th St
268,Lake Shore Dr & North Blvd
271,Cottage Grove Ave & 43rd St
272,Indiana Ave & 31st St
273,Michigan Ave & 18th St
274,Racine Ave & 15th St
275,Ashland Ave & 13th St
276,California Ave & North Ave
277,Ashland Ave & Grand Ave
278,Wallace Ave & 35th St
279,Halsted St & 35th St
280,Morgan St & 31st St
281,Western Ave & 24th St
282,Halsted St & Maxwell St
283,LaSalle St & Jackson Blvd
284,Michigan Ave & Jackson Blvd
285,Wood St & Grand Ave
286,Franklin St & Quincy St
287,Franklin St & Arcade Pl
288,Larrabee St & Armitage Ave
289,Wells St & Concord Ln
290,Kedzie Ave & Palmer Ct
291,Wells St & Evergreen Ave
292,Southport Ave & Clark St
293,Broadway & Wilson Ave
294,Broadway & Berwyn Ave
295,Broadway & Argyle St
296,Broadway & Belmont Ave
297,Paulina St & Montrose Ave
298,Lincoln Ave & Belle Plaine Ave
299,Halsted St & Roscoe St
300,Broadway & Barry Ave
301,Clark St & Schiller St
302,Sheffield Ave & Wrightwood Ave
303,Broadway & Cornelia Ave
304,Broadway & Waveland Ave
305,Western Ave & Division St
306,Sheridan Rd & Buena Ave
307,Southport Ave & Clybourn Ave
308,Seeley Ave & Roscoe St
309,Leavitt St & Armitage Ave
310,Damen Ave & Charleston St
311,Lincoln Ave & Eastwood Ave
312,Clarendon Ave & Gordon Ter
313,Lakeview Ave & Fullerton Pkwy
314,Ravenswood Ave & Berteau Ave
315,Elston Ave & Wabansia Ave
316,Damen Ave & Sunnyside Ave
317,Wood St & Taylor St
318,Southport Ave & Irving Park Rd
319,Greenview Ave & Diversey Pkwy
320,Loomis St & Lexington St
321,Wabash Ave & 9th St
322,Kimbark Ave & 53rd St
323,Sheridan Rd & Lawrence Ave
324,Stockton Dr & Wrightwood Ave
325,Clark St & Winnemac Ave
326,Clark St & Leland Ave
327,Sheffield Ave & Webster Ave
328,Ellis Ave & 58th St
329,Lake Shore Dr & Diversey Pkwy
330,Lincoln Ave & Addison St
331,Halsted St & Blackhawk St
332,Halsted St & Diversey Pkwy
333,Ashland Ave & Blackhawk St
334,Lake Shore Dr & Belmont Ave
335,Calumet Ave & 35th St
336,Cottage Grove Ave & 47th St
337,Clark St & Chicago Ave
338,Calumet Ave & 18th St
339,Emerald Ave & 31st St
340,Clark St & Wrightwood Ave
341,Adler Planetarium
342,Wolcott Ave & Polk St
343,Racine Ave & Wrightwood Ave
344,Wolcott Ave & Lawrence Ave
345,Lake Park Ave & 56th St
346,Ada St & Washington Blvd
347,Ashland Ave & Grace St
348,California Ave & 21st St
349,Halsted St & Wrightwood Ave
350,Ashland Ave & Chicago Ave
351,Cottage Grove Ave & 51st St
352,Jeffery Blvd & 67th St
353,Clark St & Touhy Ave
354,Sheridan Rd & Greenleaf Ave
356,Stony Island Ave & 71st St
359,Larrabee St & Division St
364,Larrabee St & Oak St
365,Halsted St & North Branch St
366,Loomis St & Archer Ave
367,Racine Ave & 35th St
368,Ashland Ave & Archer Ave
369,Wood St & 35th St
370,Calumet Ave & 21st St
372,California Ave & Augusta Blvd
373,Kedzie Ave & Chicago Ave
374,Western Ave & Walton St
375,Sacramento Blvd & Franklin Blvd
376,Artesian Ave & Hubbard St
377,Kedzie Ave & Lake St
378,California Ave & Lake St
381,Western Ave & Monroe St
